"rank"	"finalWorth"	"category"	"personName"	"age"	"region"	"city"	"source"	"industries"	"countryOfCitizenship"	"organization"	"selfMade"	"status"	"gender"	"birthDate"	"lastName"	"firstName"	"title"	"date"	"state"	"residenceStateRegion"	"birthYear"	"birthMonth"	"birthDay"	"cpi_country"	"cpi_change_country"	"gdp_country"	"gross_tertiary_education_enrollment"	"gross_primary_education_enrollment_country"	"life_expectancy_country"	"tax_revenue_country_country"	"total_tax_rate_country"	"population_country"	"latitude_country"	"longitude_country"
"1939"	1905	1500	"Finance & Investments"	"Ho Hung Anh"	52	"Vietnam"	"Hanoi"	"Consumer products, banking"	"Finance & Investments"	"Vietnam"	""	TRUE	"D"	"M"	"6/8/1970 0:00"	"Ho"	"Hung Anh"	""	"4/4/2023 5:01"	""	""	1970	6	8	163.52	2.8	"$261,921,244,843 "	28.5	110.6	75.3	19.1	37.6	96462106	14.058324	108.277199
"2180"	2133	1300	"Finance & Investments"	"Conni Jonsson"	62	"Sweden"	"Stockholm"	"Asset management"	"Finance & Investments"	"Sweden"	""	TRUE	"D"	"M"	"7/15/1960 0:00"	"Jonsson"	"Conni"	""	"4/4/2023 5:01"	""	""	1960	7	15	110.51	1.8	"$530,832,908,738 "	67	126.6	82.5	27.9	49.1	10285453	60.128161	18.643501
"923"	905	3200	"Finance & Investments"	"Hamilton James & family"	71	"United States"	"New York"	"Investments"	"Finance & Investments"	"United States"	""	TRUE	"U"	"M"	"8/3/1951 0:00"	"James"	"Hamilton"	""	"4/4/2023 5:01"	"New York"	"Northeast"	1951	8	3	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"1008"	982	3000	"Technology"	"Lin Xiucheng & family"	67	"China"	"Xiamen"	"Electronics"	"Technology"	"China"	""	TRUE	"D"	"M"	"10/10/1955 0:00"	"Lin"	"Xiucheng"	""	"4/4/2023 5:01"	""	""	1955	10	10	125.08	2.9	"$19,910,000,000,000 "	50.6	100.2	77	9.4	59.2	1397715000	35.86166	104.195397
"1675"	1647	1800	"Technology"	"Valentin Kipyatkov"	46	"Cyprus"	"Peyia"	"Software"	"Technology"	"Cyprus"	""	TRUE	"D"	"M"	"6/5/1976 0:00"	"Kipyatkov"	"Valentin"	""	"4/4/2023 5:01"	""	""	1976	6	5	102.51	0.3	"$24,564,647,935 "	75.9	99.3	80.8	24.5	22.4	1198575	35.126413	33.429859
"2223"	2133	1300	"Diversified"	"Igor Rotenberg"	49	"Russia"	"Moscow"	"Investments, real estate"	"Diversified"	"Russia"	""	TRUE	"R"	"M"	"5/9/1973 0:00"	"Rotenberg"	"Igor"	""	"4/4/2023 5:01"	""	""	1973	5	9	180.75	4.5	"$1,699,876,578,871 "	81.9	102.6	72.7	11.4	46.2	144373535	61.52401	105.318756
"832"	818	3500	"Energy"	"Mikhail Gutseriev"	65	"Russia"	"Moscow"	"Oil, coal, real estate"	"Energy"	"Russia"	""	TRUE	"U"	"M"	"3/9/1958 0:00"	"Gutseriev"	"Mikhail"	""	"4/4/2023 5:01"	""	""	1958	3	9	180.75	4.5	"$1,699,876,578,871 "	81.9	102.6	72.7	11.4	46.2	144373535	61.52401	105.318756
"1388"	1368	2200	"Finance & Investments"	"Thomas James"	80	"United States"	"Saint Petersburg"	"Finance"	"Finance & Investments"	"United States"	""	FALSE	"U"	"M"	"5/10/1942 0:00"	"James"	"Thomas"	""	"4/4/2023 5:01"	"Florida"	"South"	1942	5	10	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"1395"	1368	2200	"Diversified"	"Harald Link"	68	"Thailand"	"Bangkok"	"Diversified"	"Diversified"	"Thailand"	""	FALSE	"U"	"M"	"1/12/1955 0:00"	"Link"	"Harald"	""	"4/4/2023 5:01"	""	""	1955	1	12	113.27	0.7	"$543,649,976,166 "	49.3	99.8	76.9	14.9	29.5	69625582	15.870032	100.992541
"448"	445	5700	"Energy"	"Arthur Irving"	93	"Canada"	"Saint John"	"Oil"	"Energy"	"Canada"	""	FALSE	"U"	"M"	"1/1/1930 0:00"	"Irving"	"Arthur"	""	"4/4/2023 5:01"	""	""	1930	1	1	116.76	1.9	"$1,736,425,629,520 "	68.9	100.9	81.9	12.8	24.5	36991981	56.130366	-106.346771
"1819"	1804	1600	"Construction & Engineering"	"Robert Clark"	64	"United States"	"St. Louis"	"Construction"	"Construction & Engineering"	"United States"	""	TRUE	"E"	"M"	"1/30/1959 0:00"	"Clark"	"Robert"	""	"4/4/2023 5:01"	"Missouri"	"Midwest"	1959	1	30	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"452"	445	5700	"Finance & Investments"	"Daniel Ziff"	51	"United States"	"New York"	"Investments"	"Finance & Investments"	"United States"	""	FALSE	"U"	"M"	"11/2/1971 0:00"	"Ziff"	"Daniel"	""	"4/4/2023 5:01"	"New York"	"Northeast"	1971	11	2	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"669"	659	4200	"Technology"	"Lin Bin"	55	"China"	"Shenzhen"	"Smartphones"	"Technology"	"United States"	""	TRUE	"D"	"M"	"2/1/1968 0:00"	"Lin"	"Bin"	""	"4/4/2023 5:01"	""	""	1968	2	1	125.08	2.9	"$19,910,000,000,000 "	50.6	100.2	77	9.4	59.2	1397715000	35.86166	104.195397
"2265"	2259	1200	"Healthcare"	"Mehmet Aydinlar"	66	"Turkey"	"Istanbul"	"Hospitals"	"Healthcare"	"Turkey"	""	TRUE	"D"	"M"	"7/27/1956 0:00"	"Aydinlar"	"Mehmet"	""	"4/4/2023 5:01"	""	""	1956	7	27	234.44	15.2	"$754,411,708,203 "	23.9	93.2	77.4	17.9	42.3	83429615	38.963745	35.243322
"974"	949	3100	"Finance & Investments"	"Penny Pritzker"	63	"United States"	"Chicago"	"Hotels, investments"	"Finance & Investments"	"United States"	"Inspired Capital"	FALSE	"D"	"F"	"5/2/1959 0:00"	"Pritzker"	"Penny"	"Cofounder"	"4/4/2023 5:01"	"Illinois"	"Midwest"	1959	5	2	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"174"	171	10200	"Energy"	"Jeffery Hildebrand"	64	"United States"	"Houston"	"Oil"	"Energy"	"United States"	""	TRUE	"U"	"M"	"3/5/1959 0:00"	"Hildebrand"	"Jeffery"	""	"4/4/2023 5:01"	"Texas"	"South"	1959	3	5	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"868"	852	3400	"Technology"	"Bob Parsons"	72	"United States"	"Scottsdale"	"Web hosting"	"Technology"	"United States"	""	TRUE	"E"	"M"	"11/27/1950 0:00"	"Parsons"	"Bob"	""	"4/4/2023 5:01"	"Arizona"	"West"	1950	11	27	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"2136"	2133	1300	"Healthcare"	"Chirayu Amin"	76	"India"	"Baroda"	"Pharmaceuticals"	"Healthcare"	"India"	""	FALSE	"D"	"M"	"12/4/1946 0:00"	"Amin"	"Chirayu"	""	"4/4/2023 5:01"	""	""	1946	12	4	180.44	7.7	"$2,611,000,000,000 "	28.1	113	69.4	11.2	49.7	1366417754	20.593684	78.96288
"567"	567	4800	"Fashion & Retail"	"Michael Ashley"	58	"United Kingdom"	"Hertfordshire"	"Sports retailing"	"Fashion & Retail"	"United Kingdom"	""	TRUE	"U"	"M"	"9/12/1964 0:00"	"Ashley"	"Michael"	""	"4/4/2023 5:01"	""	""	1964	9	12	119.62	1.7	"$2,827,113,184,696 "	60	101.2	81.3	25.5	30.6	66834405	55.378051	-3.435973
"2193"	2133	1300	"Diversified"	"Art Levinson"	73	"United States"	"Hillsborough"	"Genentech, Apple"	"Diversified"	"United States"	""	TRUE	"D"	"M"	"3/31/1950 0:00"	"Levinson"	"Art"	""	"4/4/2023 5:01"	"California"	"West"	1950	3	31	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"1936"	1905	1500	"Finance & Investments"	"Jaroslav Hascak & family"	53	"Slovakia"	"Bratislava"	"Investments"	"Finance & Investments"	"Slovakia"	""	TRUE	"U"	"M"	"8/30/1969 0:00"	"Hascak"	"Jaroslav"	""	"4/4/2023 5:01"	""	""	1969	8	30	115.34	2.7	"$105,422,304,976 "	46.6	98.7	77.2	18.7	49.7	5454073	48.669026	19.699024
"1834"	1804	1600	"Sports"	"Irving Grousbeck & family"	88	"United States"	"Portola Valley"	"Telecommunication, sports"	"Sports"	"United States"	""	TRUE	"N"	"M"	"7/20/1934 0:00"	"Grousbeck"	"Irving"	""	"4/4/2023 5:01"	"California"	"West"	1934	7	20	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"726"	721	3900	"Automotive"	"Mong-Koo Chung"	85	"South Korea"	"Seoul"	"Hyundai"	"Automotive"	"South Korea"	""	FALSE	"D"	"M"	"3/19/1938 0:00"	"Chung"	"Mong-Koo"	""	"4/4/2023 5:01"	""	""	1938	3	19	115.16	0.4	"$2,029,000,000,000 "	94.3	98.1	82.6	15.6	33.2	51709098	35.907757	127.766922
"144"	144	12100	"Automotive"	"Shahid Khan"	72	"United States"	"Naples"	"Auto parts"	"Automotive"	"United States"	""	TRUE	"U"	"M"	"7/18/1950 0:00"	"Khan"	"Shahid"	""	"4/4/2023 5:01"	"Florida"	"South"	1950	7	18	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"2036"	2020	1400	"Fashion & Retail"	"Reinold Geiger"	75	"Switzerland"	"Geneva"	"Beauty products"	"Fashion & Retail"	"Austria"	""	TRUE	"D"	"M"	"7/10/1947 0:00"	"Geiger"	"Reinold"	""	"4/4/2023 5:01"	""	""	1947	7	10	99.55	0.4	"$703,082,435,360 "	59.6	105.2	83.6	10.1	28.8	8574832	46.818188	8.227512
"755"	748	3800	"Media & Entertainment"	"Martha Ingram & family"	87	"United States"	"Nashville"	"Book distribution, transportation"	"Media & Entertainment"	"United States"	"Ingram Industries, Inc."	FALSE	"D"	"F"	"8/20/1935 0:00"	"Ingram"	"Martha"	"Former Chairman"	"4/4/2023 5:01"	"Tennessee"	"South"	1935	8	20	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"2032"	2020	1400	"Finance & Investments"	"Sasson Dayan & family"	83	"Brazil"	"Sao Paulo"	"Banking"	"Finance & Investments"	"Brazil"	""	TRUE	"U"	"M"	"4/1/1940 0:00"	"Dayan"	"Sasson"	""	"4/4/2023 5:01"	""	""	1940	4	1	167.4	3.7	"$1,839,758,040,766 "	51.3	115.4	75.7	14.2	65.1	212559417	-14.235004	-51.92528
"1538"	1516	2000	"Healthcare"	"Heikki Kyostila"	77	"Finland"	"Helsinki"	"Dental products"	"Healthcare"	"Finland"	""	TRUE	"U"	"M"	"1/19/1946 0:00"	"Kyostila"	"Heikki"	""	"4/4/2023 5:01"	""	""	1946	1	19	112.33	1	"$268,761,201,365 "	88.2	100.2	81.7	20.8	36.6	5520314	61.92411	25.748151
"757"	748	3800	"Real Estate"	"H. Ross Perot, Jr."	64	"United States"	"Dallas"	"Real estate"	"Real Estate"	"United States"	""	FALSE	"U"	"M"	"11/7/1958 0:00"	"Perot"	"H. Ross"	""	"4/4/2023 5:01"	"Texas"	"South"	1958	11	7	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"2063"	2020	1400	"Diversified"	"Lee Ho-jin"	60	"South Korea"	"Seoul"	"Diversified"	"Diversified"	"South Korea"	"Taekwang Industrial"	FALSE	"U"	"M"	"12/8/1962 0:00"	"Lee"	"Ho-jin"	""	"4/4/2023 5:01"	""	""	1962	12	8	115.16	0.4	"$2,029,000,000,000 "	94.3	98.1	82.6	15.6	33.2	51709098	35.907757	127.766922
"2115"	2020	1400	"Manufacturing"	"Werner O. Weber"	84	"Switzerland"	"Zurich"	"Electronic components"	"Manufacturing"	"Switzerland"	""	TRUE	"E"	"M"	"2/9/1939 0:00"	"Weber"	"Werner O."	""	"4/4/2023 5:01"	""	""	1939	2	9	99.55	0.4	"$703,082,435,360 "	59.6	105.2	83.6	10.1	28.8	8574832	46.818188	8.227512
"643"	636	4300	"Diversified"	"Daryl Katz"	61	"Canada"	"Edmonton"	"Pharmacies"	"Diversified"	"Canada"	"Katz Group"	TRUE	"D"	"M"	"9/1/1961 0:00"	"Katz"	"Daryl"	"Founder and Chairman"	"4/4/2023 5:01"	""	""	1961	9	1	116.76	1.9	"$1,736,425,629,520 "	68.9	100.9	81.9	12.8	24.5	36991981	56.130366	-106.346771
"1113"	1104	2700	"Healthcare"	"Henri Beaufour"	57	"United Kingdom"	"London"	"Pharmaceuticals"	"Healthcare"	"France"	""	FALSE	"U"	"M"	"6/1/1965 0:00"	"Beaufour"	"Henri"	""	"4/4/2023 5:01"	""	""	1965	6	1	119.62	1.7	"$2,827,113,184,696 "	60	101.2	81.3	25.5	30.6	66834405	55.378051	-3.435973
"2418"	2405	1100	"Food & Beverage"	"Pradip Burman"	80	"India"	"Delhi"	"Consumer goods"	"Food & Beverage"	"India"	""	FALSE	"D"	"M"	"11/2/1942 0:00"	"Burman"	"Pradip"	""	"4/4/2023 5:01"	""	""	1942	11	2	180.44	7.7	"$2,611,000,000,000 "	28.1	113	69.4	11.2	49.7	1366417754	20.593684	78.96288
"458"	455	5600	"Automotive"	"Vikram Lal & family"	81	"India"	"Delhi"	"Motorcycles"	"Automotive"	"India"	""	FALSE	"U"	"M"	"3/5/1942 0:00"	"Lal"	"Vikram"	""	"4/4/2023 5:01"	""	""	1942	3	5	180.44	7.7	"$2,611,000,000,000 "	28.1	113	69.4	11.2	49.7	1366417754	20.593684	78.96288
"528"	523	5100	"Logistics"	"Kjell Inge Rokke"	64	"Norway"	"Vettre"	"Shipping, seafood"	"Logistics"	"Norway"	""	TRUE	"D"	"M"	"10/25/1958 0:00"	"Rokke"	"Kjell Inge"	""	"4/4/2023 5:01"	""	""	1958	10	25	120.27	2.2	"$403,336,363,636 "	82	100.3	82.8	23.9	36.2	5347896	60.472024	8.468946
"64"	64	23400	"Manufacturing"	"He Xiangjian & family"	80	"China"	"Foshan"	"Home appliances"	"Manufacturing"	"China"	""	TRUE	"D"	"M"	"8/11/1942 0:00"	"He"	"Xiangjian"	""	"4/4/2023 5:01"	""	""	1942	8	11	125.08	2.9	"$19,910,000,000,000 "	50.6	100.2	77	9.4	59.2	1397715000	35.86166	104.195397
"949"	949	3100	"Manufacturing"	"Cho Tak Wong"	76	"China"	"Fuqing"	"Auto parts"	"Manufacturing"	"Hong Kong"	""	TRUE	"D"	"M"	"5/15/1946 0:00"	"Cho"	"Tak Wong"	""	"4/4/2023 5:01"	""	""	1946	5	15	125.08	2.9	"$19,910,000,000,000 "	50.6	100.2	77	9.4	59.2	1397715000	35.86166	104.195397
"1520"	1516	2000	"Technology"	"Pavel Baudis"	62	"Czech Republic"	"Prague"	"Software"	"Technology"	"Czech Republic"	""	TRUE	"D"	"M"	"5/15/1960 0:00"	"Baudis"	"Pavel"	""	"4/4/2023 5:01"	""	""	1960	5	15	116.48	2.8	"$246,489,245,495 "	64.1	100.7	79	14.9	46.1	10669709	49.817492	15.472962
"636"	636	4300	"Telecom"	"Patrick Drahi"	59	"Switzerland"	"Zermatt"	"Telecom"	"Telecom"	"France"	""	TRUE	"D"	"M"	"8/20/1963 0:00"	"Drahi"	"Patrick"	""	"4/4/2023 5:01"	""	""	1963	8	20	99.55	0.4	"$703,082,435,360 "	59.6	105.2	83.6	10.1	28.8	8574832	46.818188	8.227512
"2182"	2133	1300	"Technology"	"Laurent Junique"	57	"Singapore"	"Singapore"	"Call centers"	"Technology"	"France"	""	TRUE	"U"	"M"	"12/1/1965 0:00"	"Junique"	"Laurent"	""	"4/4/2023 5:01"	""	""	1965	12	1	114.41	0.6	"$372,062,527,489 "	84.8	100.6	83.1	13.1	21	5703569	1.352083	103.819836
"526"	523	5100	"Media & Entertainment"	"Kwon Hyuk-bin"	49	"South Korea"	"Seoul"	"Online games"	"Media & Entertainment"	"South Korea"	"Smilegate Holdings"	TRUE	"D"	"M"	"1/1/1974 0:00"	"Kwon"	"Hyuk-bin"	""	"4/4/2023 5:01"	""	""	1974	1	1	115.16	0.4	"$2,029,000,000,000 "	94.3	98.1	82.6	15.6	33.2	51709098	35.907757	127.766922
"59"	59	24600	"Automotive"	"Stefan Quandt"	56	"Germany"	"Frankfurt"	"BMW"	"Automotive"	"Germany"	""	FALSE	"U"	"M"	"5/9/1966 0:00"	"Quandt"	"Stefan"	""	"4/4/2023 5:01"	""	""	1966	5	9	112.85	1.4	"$3,845,630,030,824 "	70.2	104	80.9	11.5	48.8	83132799	51.165691	10.451526
"487"	486	5400	"Manufacturing"	"Mahendra Choksi & family"	81	"India"	"Mumbai"	"Paints"	"Manufacturing"	"India"	""	FALSE	"D"	"M"	"4/19/1941 0:00"	"Choksi"	"Mahendra"	""	"4/4/2023 5:01"	""	""	1941	4	19	180.44	7.7	"$2,611,000,000,000 "	28.1	113	69.4	11.2	49.7	1366417754	20.593684	78.96288
"1267"	1217	2500	"Fashion & Retail"	"Roger Wang"	74	"China"	"Nanjing"	"Retail"	"Fashion & Retail"	"United States"	""	TRUE	"D"	"M"	"1/1/1949 0:00"	"Wang"	"Roger"	""	"4/4/2023 5:01"	""	""	1949	1	1	125.08	2.9	"$19,910,000,000,000 "	50.6	100.2	77	9.4	59.2	1397715000	35.86166	104.195397
"397"	397	6400	"Finance & Investments"	"Carl Bennet"	71	"Sweden"	"Gothenberg"	"Investments"	"Finance & Investments"	"Sweden"	""	TRUE	"D"	"M"	"8/19/1951 0:00"	"Bennet"	"Carl"	""	"4/4/2023 5:01"	""	""	1951	8	19	110.51	1.8	"$530,832,908,738 "	67	126.6	82.5	27.9	49.1	10285453	60.128161	18.643501
"2040"	2020	1400	"Manufacturing"	"Rajinder Gupta"	64	"India"	"Ludhiana"	"Textiles, paper"	"Manufacturing"	"India"	""	TRUE	"D"	"M"	"1/2/1959 0:00"	"Gupta"	"Rajinder"	""	"4/4/2023 5:01"	""	""	1959	1	2	180.44	7.7	"$2,611,000,000,000 "	28.1	113	69.4	11.2	49.7	1366417754	20.593684	78.96288
"497"	497	5300	"Finance & Investments"	"Todd Boehly"	49	"United States"	"Darien"	"Finance"	"Finance & Investments"	"United States"	""	TRUE	"U"	"M"	"9/20/1973 0:00"	"Boehly"	"Todd"	""	"4/4/2023 5:01"	"Connecticut"	"Northeast"	1973	9	20	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"1234"	1217	2500	"Finance & Investments"	"Joseph Edelman"	67	"United States"	"New York"	"Hedge funds"	"Finance & Investments"	"United States"	"Perceptive Advisors"	TRUE	"D"	"M"	"6/10/1955 0:00"	"Edelman"	"Joseph"	"Founder & CEO"	"4/4/2023 5:01"	"New York"	"Northeast"	1955	6	10	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"1426"	1368	2200	"Food & Beverage"	"David Wertheim"	65	"Israel"	""	"Coca-Cola Israel"	"Food & Beverage"	"Israel"	""	FALSE	"D"	"M"	"1/1/1958 0:00"	"Wertheim"	"David"	""	"4/4/2023 5:01"	""	""	1958	1	1	108.15	0.8	"$395,098,666,122 "	63.4	104.9	82.8	23.1	25.3	9053300	31.046051	34.851612
"2391"	2259	1200	"Manufacturing"	"Wenbo Xiang"	60	"China"	"Changsha"	"Manufacturing"	"Manufacturing"	"China"	""	TRUE	"D"	"M"	"6/21/1962 0:00"	"Xiang"	"Wenbo"	""	"4/4/2023 5:01"	""	""	1962	6	21	125.08	2.9	"$19,910,000,000,000 "	50.6	100.2	77	9.4	59.2	1397715000	35.86166	104.195397
"909"	905	3200	"Finance & Investments"	"Ron Burkle"	70	"United Kingdom"	"London"	"Supermarkets, investments"	"Finance & Investments"	"United States"	"The Yucaipa Companies, LLC"	TRUE	"U"	"M"	"11/12/1952 0:00"	"Burkle"	"Ron"	"Investor"	"4/4/2023 5:01"	""	""	1952	11	12	119.62	1.7	"$2,827,113,184,696 "	60	101.2	81.3	25.5	30.6	66834405	55.378051	-3.435973
"120"	120	14600	"Healthcare"	"Xu Hang"	60	"China"	"Shenzhen"	"Medical devices"	"Healthcare"	"Hong Kong"	""	TRUE	"D"	"M"	"5/22/1962 0:00"	"Xu"	"Hang"	""	"4/4/2023 5:01"	""	""	1962	5	22	125.08	2.9	"$19,910,000,000,000 "	50.6	100.2	77	9.4	59.2	1397715000	35.86166	104.195397
"782"	766	3700	"Technology"	"John Sall"	75	"United States"	"Cary"	"Software"	"Technology"	"United States"	"SAS Institute"	TRUE	"U"	"M"	"4/4/1948 0:00"	"Sall"	"John"	"Co-Founder, Executive Vice President"	"4/4/2023 5:01"	"North Carolina"	"South"	1948	4	4	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"1037"	1027	2900	"Media & Entertainment"	"Kenneth Feld & family"	74	"United States"	"Sarasota"	"Live entertainment"	"Media & Entertainment"	"United States"	"Feld Entertainment"	FALSE	"U"	"M"	"10/31/1948 0:00"	"Feld"	"Kenneth"	"Chairman"	"4/4/2023 5:01"	"Florida"	"South"	1948	10	31	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
